Attitude ,Longittude ,,,,,
25.05911,121.61407,,,,,
25.04416,121.61579,,,,,
25.04643,121.58832,,,,,
25.04503,121.58361,,,,,
25.05083,121.59394,,,,,
25.05512,121.6133,,,,,
25.03969,121.59156,,,,,
25.04893,121.58179,,,,,
25.0491,121.58906,,,,,
25.05201,121.61627,,,,,
25.05916,121.6155,,,,,
25.05323,121.58984,,,,,
25.05715,121.60092,,,,,
25.04161,121.58781,,,,,
25.05654,121.61324,,,,,
25.04911,121.59419,,,,,
25.05692,121.60574,,,,,
25.05289,121.60725,,,,,
25.05255,121.60451,,,,,
25.03471,121.61419,,,,,
25.05264,121.60361,,,,,
25.05609,121.61759,,,,,
25.05623,121.61561,,,,,
25.04753,121.61548,,,,,
25.05043,121.58027,,,,,
25.0529,121.60609,,,,,
25.05575,121.59423,,,,,
25.03831,121.61689,,,,,
25.05026,121.59401,,,,,
25.0463,121.58706,,,,,
25.04285,121.58359,,,,,
25.04086,121.61266,,,,,
25.05858,121.61484,,,,,
25.05405,121.59222,,,,,